county,precinct,office,district,candidate,party,votes,election_day,early_voting,central_count
La Paz,054 UPRIVER,U.S. House,4,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,U.S. House,4,"GOSAR, PAUL",REP,886,234,552,100
La Paz,054 UPRIVER,U.S. House,4,"WEISSER, MIKEL",DEM,234,65,135,34
La Paz,054 UPRIVER,U.S. House,4,Write-in,,0,0,0,0
La Paz,054 UPRIVER,State Senate,5,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,State Senate,5,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,State Senate,5,Times Blank Voted,,476,129,284,63
La Paz,054 UPRIVER,State Senate,5,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,State Senate,5,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,State Senate,5,"BORRELLI, SONNY",REP,768,211,462,95
La Paz,054 UPRIVER,State Senate,5,Write-in 20,,3,0,2,1
La Paz,054 UPRIVER,State Representative,5,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,State Representative,5,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,State Representative,5,Times Blank Voted,,151,46,78,27
La Paz,054 UPRIVER,State Representative,5,Times Over Voted,,1,0,1,0
La Paz,054 UPRIVER,State Representative,5,Number of Under Votes,,479,139,273,67
La Paz,054 UPRIVER,State Representative,5,"COBB, REGINA",REP,649,159,416,74
La Paz,054 UPRIVER,State Representative,5,"MOSLEY, PAUL",REP,732,198,458,76
La Paz,054 UPRIVER,State Representative,5,"WEISSER, BETH",DEM,244,67,140,37
La Paz,054 UPRIVER,State Representative,5,"BIASIUCCI, LEO",GRN,85,25,51,9
La Paz,054 UPRIVER,State Representative,5,Write-in 60,,1,0,0,1
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,Times Blank Voted,,179,51,99,29
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,Number of Under Votes,,803,221,454,128
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,"BURNS, ROBERT \BOB\""""",REP,682,183,426,73
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,"DUNN, BOYD",REP,585,150,373,62
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,"TOBIN, ANDY",REP,687,186,428,73
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,"CHABIN, TOM",DEM,202,56,119,27
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,"MUNDELL, WILLIAM",DEM,243,71,145,27
La Paz,054 UPRIVER,Corporation Commissioner (Elect 3),,Write-in 80,,2,0,2,0
La Paz,054 UPRIVER,Board of Supervisors Dist. 2,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,Board of Supervisors Dist. 2,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,Board of Supervisors Dist. 2,,Times Blank Voted,,107,25,64,18
La Paz,054 UPRIVER,Board of Supervisors Dist. 2,,Times Over Voted,,1,0,1,0
La Paz,054 UPRIVER,Board of Supervisors Dist. 2,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,Board of Supervisors Dist. 2,,"MINOR, DUCE",REP,730,172,468,90
La Paz,054 UPRIVER,Board of Supervisors Dist. 2,,"MARLER, LUKE",IND,409,143,215,51
La Paz,054 UPRIVER,Board of Supervisors Dist. 2,,Write-in 30,,0,0,0,0
La Paz,054 UPRIVER,County Attorney,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,County Attorney,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,County Attorney,,Times Blank Voted,,92,22,56,14
La Paz,054 UPRIVER,County Attorney,,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,County Attorney,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,County Attorney,,"FIELD, KATHY",REP,585,131,378,76
La Paz,054 UPRIVER,County Attorney,,"ROGERS, TONY",DEM,569,186,314,69
La Paz,054 UPRIVER,County Attorney,,Write-in 30,,1,1,0,0
La Paz,054 UPRIVER,Sheriff,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,Sheriff,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,Sheriff,,Times Blank Voted,,57,13,37,7
La Paz,054 UPRIVER,Sheriff,,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,Sheriff,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,Sheriff,,"RISEN, WILLIAM",REP,709,189,432,88
La Paz,054 UPRIVER,Sheriff,,"VIDRINE, FRANK",DEM,473,134,275,64
La Paz,054 UPRIVER,Sheriff,,Write-in 30,,8,4,4,0
La Paz,054 UPRIVER,County Treasurer,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,County Treasurer,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,County Treasurer,,Times Blank Voted,,261,71,145,45
La Paz,054 UPRIVER,County Treasurer,,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,County Treasurer,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,County Treasurer,,"CASTRO, LEAH",REP,984,267,603,114
La Paz,054 UPRIVER,County Treasurer,,Write-in 20,,2,2,0,0
La Paz,054 UPRIVER,County School Superintendent,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,County School Superintendent,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,County School Superintendent,,Times Blank Voted,,163,47,88,28
La Paz,054 UPRIVER,County School Superintendent,,Times Over Voted,,1,1,0,0
La Paz,054 UPRIVER,County School Superintendent,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,County School Superintendent,,"PRICE, JACQULINE",REP,777,196,488,93
La Paz,054 UPRIVER,County School Superintendent,,"HEREDIA, ARMANDO",DEM,306,96,172,38
La Paz,054 UPRIVER,County School Superintendent,,Write-in 30,,0,0,0,0
La Paz,054 UPRIVER,County Recorder,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,County Recorder,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,County Recorder,,Times Blank Voted,,280,84,160,36
La Paz,054 UPRIVER,County Recorder,,Times Over Voted,,1,1,0,0
La Paz,054 UPRIVER,County Recorder,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,County Recorder,,"BAKER, SHELLY",REP,955,253,580,122
La Paz,054 UPRIVER,County Recorder,,Write-in 20,,11,2,8,1
La Paz,054 UPRIVER,County Assessor,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,County Assessor,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,County Assessor,,Times Blank Voted,,283,79,161,43
La Paz,054 UPRIVER,County Assessor,,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,County Assessor,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,County Assessor,,"CAMACHO, ANNA",REP,954,257,581,116
La Paz,054 UPRIVER,County Assessor,,Write-in 20,,10,4,6,0
La Paz,054 UPRIVER,"Retain Justice TIMMER, ANN",,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,"Retain Justice TIMMER, ANN",,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,"Retain Justice TIMMER, ANN",,Times Blank Voted,,433,131,249,53
La Paz,054 UPRIVER,"Retain Justice TIMMER, ANN",,Times Over Voted,,1,1,0,0
La Paz,054 UPRIVER,"Retain Justice TIMMER, ANN",,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,"Retain Justice TIMMER, ANN",,YES,,604,150,376,78
La Paz,054 UPRIVER,"Retain Justice TIMMER, ANN",,NO,,209,58,123,28
La Paz,054 UPRIVER,"Retain Judge BROWN, MICHAEL J.",,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,"Retain Judge BROWN, MICHAEL J.",,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,"Retain Judge BROWN, MICHAEL J.",,Times Blank Voted,,446,131,259,56
La Paz,054 UPRIVER,"Retain Judge BROWN, MICHAEL J.",,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,"Retain Judge BROWN, MICHAEL J.",,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,"Retain Judge BROWN, MICHAEL J.",,YES,,590,155,360,75
La Paz,054 UPRIVER,"Retain Judge BROWN, MICHAEL J.",,NO,,211,54,129,28
La Paz,054 UPRIVER,"Retain Judge JONES, KENTON",,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,"Retain Judge JONES, KENTON",,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,"Retain Judge JONES, KENTON",,Times Blank Voted,,458,139,262,57
La Paz,054 UPRIVER,"Retain Judge JONES, KENTON",,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,"Retain Judge JONES, KENTON",,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,"Retain Judge JONES, KENTON",,YES,,592,151,365,76
La Paz,054 UPRIVER,"Retain Judge JONES, KENTON",,NO,,197,50,121,26
La Paz,054 UPRIVER,"Retain Judge THOMPSON, JON W.",,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,"Retain Judge THOMPSON, JON W.",,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,"Retain Judge THOMPSON, JON W.",,Times Blank Voted,,472,145,269,58
La Paz,054 UPRIVER,"Retain Judge THOMPSON, JON W.",,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,"Retain Judge THOMPSON, JON W.",,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,"Retain Judge THOMPSON, JON W.",,YES,,579,144,359,76
La Paz,054 UPRIVER,"Retain Judge THOMPSON, JON W.",,NO,,196,51,120,25
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,Times Blank Voted,,296,70,183,43
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,Number of Under Votes,,585,185,321,79
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,"DANIEL, JEFF",,484,119,309,56
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,"JONES, PAT",,318,93,183,42
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,"MIHELICH, JOHN",,451,129,273,49
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,"POSEY, WAYNE",,456,139,261,56
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,"ROUNTREE, DON",,553,143,345,65
La Paz,054 UPRIVER,Buckskin Fire District (Elect 3),,Write-in 80,,6,2,3,1
La Paz,054 UPRIVER,Proposition 205,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,Proposition 205,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,Proposition 205,,Times Blank Voted,,122,40,58,24
La Paz,054 UPRIVER,Proposition 205,,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,Proposition 205,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,Proposition 205,,YES,,616,176,363,77
La Paz,054 UPRIVER,Proposition 205,,NO,,509,124,327,58
La Paz,054 UPRIVER,Proposition 206,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,Proposition 206,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,Proposition 206,,Times Blank Voted,,131,43,64,24
La Paz,054 UPRIVER,Proposition 206,,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,Proposition 206,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,Proposition 206,,YES,,589,152,371,66
La Paz,054 UPRIVER,Proposition 206,,NO,,527,145,313,69
La Paz,055 BOUSE,President,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,President,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,President,,Times Blank Voted,,3,1,2,0
La Paz,055 BOUSE,President,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,President,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,President,,TRUMP / PENCE,REP,280,88,145,47
La Paz,055 BOUSE,President,,CLINTON / KAINE,DEM,53,21,26,6
La Paz,055 BOUSE,President,,JOHNSON / WELD,LIB,9,3,4,2
La Paz,055 BOUSE,President,,STEIN / BARAKA,GRN,3,1,2,0
La Paz,055 BOUSE,President,,Write-in,,3,0,3,0
La Paz,055 BOUSE,U.S. Senate,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,U.S. Senate,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,U.S. Senate,,Times Blank Voted,,12,2,6,4
La Paz,055 BOUSE,U.S. Senate,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,U.S. Senate,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,U.S. Senate,,"MCCAIN, JOHN",REP,214,62,119,33
La Paz,055 BOUSE,U.S. Senate,,"KIRKPATRICK, ANN",DEM,78,32,35,11
La Paz,055 BOUSE,U.S. Senate,,"SWING, GARY",GRN,42,17,20,5
La Paz,055 BOUSE,U.S. Senate,,Write-in,,5,1,2,2
La Paz,055 BOUSE,U.S. House,4,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,U.S. House,4,Times Counted,,351,114,182,55
La Paz,055 BOUSE,U.S. House,4,Times Blank Voted,,34,7,18,9
La Paz,055 BOUSE,U.S. House,4,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,U.S. House,4,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,U.S. House,4,"GOSAR, PAUL",REP,258,81,138,39
La Paz,055 BOUSE,U.S. House,4,"WEISSER, MIKEL",DEM,59,26,26,7
La Paz,055 BOUSE,U.S. House,4,Write-in,,0,0,0,0
La Paz,055 BOUSE,State Senate,5,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,State Senate,5,Times Counted,,351,114,182,55
La Paz,055 BOUSE,State Senate,5,Times Blank Voted,,109,35,53,21
La Paz,055 BOUSE,State Senate,5,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,State Senate,5,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,State Senate,5,"BORRELLI, SONNY",REP,241,78,129,34
La Paz,055 BOUSE,State Senate,5,Write-in 20,,1,1,0,0
La Paz,055 BOUSE,State Representative,5,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,State Representative,5,Times Counted,,351,114,182,55
La Paz,055 BOUSE,State Representative,5,Times Blank Voted,,44,10,23,11
La Paz,055 BOUSE,State Representative,5,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,State Representative,5,Number of Under Votes,,125,51,56,18
La Paz,055 BOUSE,State Representative,5,"COBB, REGINA",REP,181,56,101,24
La Paz,055 BOUSE,State Representative,5,"MOSLEY, PAUL",REP,211,61,118,32
La Paz,055 BOUSE,State Representative,5,"WEISSER, BETH",DEM,69,29,29,11
La Paz,055 BOUSE,State Representative,5,"BIASIUCCI, LEO",GRN,28,11,14,3
La Paz,055 BOUSE,State Representative,5,Write-in 60,,0,0,0,0
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,Times Counted,,351,114,182,55
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,Times Blank Voted,,51,11,30,10
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,Number of Under Votes,,207,79,100,28
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,"BURNS, ROBERT \BOB\""""",REP,203,67,103,33
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,"DUNN, BOYD",REP,169,51,90,28
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,"TOBIN, ANDY",REP,175,58,87,30
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,"CHABIN, TOM",DEM,63,21,34,8
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,"MUNDELL, WILLIAM",DEM,83,33,42,8
La Paz,055 BOUSE,Corporation Commissioner (Elect 3),,Write-in 80,,0,0,0,0
La Paz,055 BOUSE,Board of Supervisors Dist. 2,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,Board of Supervisors Dist. 2,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,Board of Supervisors Dist. 2,,Times Blank Voted,,32,11,15,6
La Paz,055 BOUSE,Board of Supervisors Dist. 2,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,Board of Supervisors Dist. 2,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,Board of Supervisors Dist. 2,,"MINOR, DUCE",REP,230,77,117,36
La Paz,055 BOUSE,Board of Supervisors Dist. 2,,"MARLER, LUKE",IND,88,26,49,13
La Paz,055 BOUSE,Board of Supervisors Dist. 2,,Write-in 30,,1,0,1,0
La Paz,055 BOUSE,County Attorney,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,County Attorney,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,County Attorney,,Times Blank Voted,,29,3,18,8
La Paz,055 BOUSE,County Attorney,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,County Attorney,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,County Attorney,,"FIELD, KATHY",REP,157,49,80,28
La Paz,055 BOUSE,County Attorney,,"ROGERS, TONY",DEM,165,62,84,19
La Paz,055 BOUSE,County Attorney,,Write-in 30,,0,0,0,0
La Paz,055 BOUSE,Sheriff,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,Sheriff,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,Sheriff,,Times Blank Voted,,19,2,13,4
La Paz,055 BOUSE,Sheriff,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,Sheriff,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,Sheriff,,"RISEN, WILLIAM",REP,229,72,121,36
La Paz,055 BOUSE,Sheriff,,"VIDRINE, FRANK",DEM,103,40,48,15
La Paz,055 BOUSE,Sheriff,,Write-in 30,,0,0,0,0
La Paz,055 BOUSE,County Treasurer,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,County Treasurer,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,County Treasurer,,Times Blank Voted,,67,24,30,13
La Paz,055 BOUSE,County Treasurer,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,County Treasurer,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,County Treasurer,,"CASTRO, LEAH",REP,284,90,152,42
La Paz,055 BOUSE,County Treasurer,,Write-in 20,,0,0,0,0
La Paz,055 BOUSE,County School Superintendent,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,County School Superintendent,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,County School Superintendent,,Times Blank Voted,,41,8,27,6
La Paz,055 BOUSE,County School Superintendent,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,County School Superintendent,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,County School Superintendent,,"PRICE, JACQULINE",REP,223,77,110,36
La Paz,055 BOUSE,County School Superintendent,,"HEREDIA, ARMANDO",DEM,87,29,45,13
La Paz,055 BOUSE,County School Superintendent,,Write-in 30,,0,0,0,0
La Paz,055 BOUSE,County Recorder,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,County Recorder,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,County Recorder,,Times Blank Voted,,73,25,35,13
La Paz,055 BOUSE,County Recorder,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,County Recorder,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,County Recorder,,"BAKER, SHELLY",REP,277,89,146,42
La Paz,055 BOUSE,County Recorder,,Write-in 20,,1,0,1,0
La Paz,055 BOUSE,County Assessor,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,County Assessor,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,County Assessor,,Times Blank Voted,,76,25,37,14
La Paz,055 BOUSE,County Assessor,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,County Assessor,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,County Assessor,,"CAMACHO, ANNA",REP,274,88,145,41
La Paz,055 BOUSE,County Assessor,,Write-in 20,,1,1,0,0
La Paz,055 BOUSE,"Retain Justice TIMMER, ANN",,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,"Retain Justice TIMMER, ANN",,Times Counted,,351,114,182,55
La Paz,055 BOUSE,"Retain Justice TIMMER, ANN",,Times Blank Voted,,98,26,51,21
La Paz,055 BOUSE,"Retain Justice TIMMER, ANN",,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,"Retain Justice TIMMER, ANN",,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,"Retain Justice TIMMER, ANN",,YES,,187,68,90,29
La Paz,055 BOUSE,"Retain Justice TIMMER, ANN",,NO,,66,20,41,5
La Paz,055 BOUSE,"Retain Judge BROWN, MICHAEL J.",,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,"Retain Judge BROWN, MICHAEL J.",,Times Counted,,351,114,182,55
La Paz,055 BOUSE,"Retain Judge BROWN, MICHAEL J.",,Times Blank Voted,,100,27,53,20
La Paz,055 BOUSE,"Retain Judge BROWN, MICHAEL J.",,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,"Retain Judge BROWN, MICHAEL J.",,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,"Retain Judge BROWN, MICHAEL J.",,YES,,187,64,93,30
La Paz,055 BOUSE,"Retain Judge BROWN, MICHAEL J.",,NO,,64,23,36,5
La Paz,055 BOUSE,"Retain Judge JONES, KENTON",,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,"Retain Judge JONES, KENTON",,Times Counted,,351,114,182,55
La Paz,055 BOUSE,"Retain Judge JONES, KENTON",,Times Blank Voted,,102,27,55,20
La Paz,055 BOUSE,"Retain Judge JONES, KENTON",,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,"Retain Judge JONES, KENTON",,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,"Retain Judge JONES, KENTON",,YES,,184,64,93,27
La Paz,055 BOUSE,"Retain Judge JONES, KENTON",,NO,,65,23,34,8
La Paz,055 BOUSE,"Retain Judge THOMPSON, JON W.",,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,"Retain Judge THOMPSON, JON W.",,Times Counted,,351,114,182,55
La Paz,055 BOUSE,"Retain Judge THOMPSON, JON W.",,Times Blank Voted,,107,29,57,21
La Paz,055 BOUSE,"Retain Judge THOMPSON, JON W.",,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,"Retain Judge THOMPSON, JON W.",,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,"Retain Judge THOMPSON, JON W.",,YES,,176,61,88,27
La Paz,055 BOUSE,"Retain Judge THOMPSON, JON W.",,NO,,68,24,37,7
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,Registered Voters,,463,0,0,0
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,Times Counted,,349,113,181,55
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,Times Blank Voted,,32,7,19,6
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,Number of Under Votes,,148,59,61,28
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,"COOPER, ROBIN",,211,66,111,34
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,"GARCIA, BRENDA",,168,56,90,22
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,"GLENN, JACK",,143,47,75,21
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,"HUHTALA, HEATHER",,181,53,98,30
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,"NAULT, GEORGE",,100,37,51,12
La Paz,055 BOUSE,Bouse Elementary School Dist. 26 (Elect 3),,Write-in 80,,0,0,0,0
La Paz,055 BOUSE,Salome Consolidated School Dist. 30 (Elect 2),,Registered Voters,,2,0,0,0
La Paz,055 BOUSE,Salome Consolidated School Dist. 30 (Elect 2),,Times Counted,,2,1,1,0
La Paz,055 BOUSE,Salome Consolidated School Dist. 30 (Elect 2),,Times Blank Voted,,2,1,1,0
La Paz,055 BOUSE,Salome Consolidated School Dist. 30 (Elect 2),,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,Salome Consolidated School Dist. 30 (Elect 2),,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,Salome Consolidated School Dist. 30 (Elect 2),,"DALTON, PAULINE",,0,0,0,0
La Paz,055 BOUSE,Salome Consolidated School Dist. 30 (Elect 2),,"GERMAN, CONNIE",,0,0,0,0
La Paz,055 BOUSE,Salome Consolidated School Dist. 30 (Elect 2),,"MCDANIEL, BROOKS",,0,0,0,0
La Paz,055 BOUSE,Salome Consolidated School Dist. 30 (Elect 2),,Write-in 50,,0,0,0,0
La Paz,055 BOUSE,Proposition 205,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,Proposition 205,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,Proposition 205,,Times Blank Voted,,33,16,13,4
La Paz,055 BOUSE,Proposition 205,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,Proposition 205,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,Proposition 205,,YES,,147,54,64,29
La Paz,055 BOUSE,Proposition 205,,NO,,171,44,105,22
La Paz,055 BOUSE,Proposition 206,,Registered Voters,,465,0,0,0
La Paz,055 BOUSE,Proposition 206,,Times Counted,,351,114,182,55
La Paz,055 BOUSE,Proposition 206,,Times Blank Voted,,39,19,16,4
La Paz,055 BOUSE,Proposition 206,,Times Over Voted,,0,0,0,0
La Paz,055 BOUSE,Proposition 206,,Number of Under Votes,,0,0,0,0
La Paz,055 BOUSE,Proposition 206,,YES,,156,55,68,33
La Paz,055 BOUSE,Proposition 206,,NO,,156,40,98,18
La Paz,056 WENDEN,President,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,President,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,President,,Times Blank Voted,,3,2,1,0
La Paz,056 WENDEN,President,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,President,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,President,,TRUMP / PENCE,REP,85,35,38,12
La Paz,056 WENDEN,President,,CLINTON / KAINE,DEM,23,7,12,4
La Paz,056 WENDEN,President,,JOHNSON / WELD,LIB,4,1,1,2
La Paz,056 WENDEN,President,,STEIN / BARAKA,GRN,0,0,0,0
La Paz,056 WENDEN,President,,Write-in,,4,0,3,1
La Paz,056 WENDEN,U.S. Senate,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,U.S. Senate,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,U.S. Senate,,Times Blank Voted,,7,3,3,1
La Paz,056 WENDEN,U.S. Senate,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,U.S. Senate,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,U.S. Senate,,"MCCAIN, JOHN",REP,74,29,33,12
